Mobile Name,User Rating,price,image_url,images
"Samsung Galaxy S10 Lite (Prism Black, 128 GB)",4.5,"₹39,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A20s (Blue, 32 GB)",4.3,"₹10,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)",4.6,"₹23,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy S10 Lite (Prism White, 128 GB)",4.5,"₹39,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A30s (Prism Crush Violet, 128 GB)",4.3,"₹15,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)",4.5,"₹39,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Samsung Metro 313 Dual Sim,4.3,"₹2,330",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Samsung Guru FM Plus SM-B110E/D,4.3,"₹1,500",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Samsung Guru FM Plus SM-B110E/D,4.3,"₹1,500",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Samsung Guru Plus B110,4.1,"₹1,662",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Samsung Metro 313,4.1,"₹2,050",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
Samsung Guru FM Plus SM-B110E/D,4.3,"₹1,500",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy J2-2017 (Absolute black, 8 GB)",4.2,"₹6,000",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy M10 (Ocean Blue, 32 GB)",4.3,"₹8,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy J6 (Blue, 64 GB)",4.5,"₹9,490",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy J2 Core (Blue, 8 GB)",4.2,"₹6,190",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy J4 (Gold, 16 GB)",4.3,"₹8,490",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy J2 Core (Black, 8 GB)",4.2,"₹6,200",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A30s (Prism Crush Violet, 64 GB)",4.3,"₹14,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy M20 (Charcoal Black, 64 GB)",4.3,"₹12,678",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A30s (Prism Crush White, 64 GB)",4.3,"₹14,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A50 (Black, 64 GB)",4.3,"₹14,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy M30s (Black, 64 GB)",4.3,"₹14,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A50 (Blue, 64 GB)",4.3,"₹14,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A7 (Gold, 64 GB)",4.4,"₹19,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy On Max (Black, 32 GB)",4.3,"₹19,900",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A50s (Prism Crush White, 128 GB)",4.3,"₹17,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A50 (Blue, 64 GB)",4.4,"₹17,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy A30s (Prism Crush White, 128 GB)",4.3,"₹15,999",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
"Samsung Galaxy M30 (Gradation Blue, 64 GB)",4.4,"₹16,400",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
